"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C13,C17","12","0.1uf","","","","extra footprint:0805","~"
"C9,C12","2","1uf","","","","extra footprint:0805","~"
"C14,C20,C21","3","10uf","","","","extra footprint:0805","~"
"C15,C16","2","15pf","","","","extra footprint:0805","~"
"J1","1","USB_C_Receptacle_USB2.0_14P","","","","extra footprint:USB-C","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","CAMERA conn -1x24","","","","extra footprint:CAMERA conn","~"
"J3","1","uart programing(M1W)","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
"J4","1","RP2040 pinn headers -1x30","","","","Connector_PinHeader_2.54mm:PinHeader_1x30_P2.54mm_Vertical","~"
"J6","1","M1W pin headers -1x28","","","","Connector_PinHeader_2.54mm:PinHeader_1x28_P2.54mm_Vertical","~"
"J7","1","M1W display conn -1x24","","","","extra footprint:CAMERA conn","https://www.lcsc.com/datasheet/C17681938.pdf"
"MK1,MK2,MK3,MK4,MK5,MK6,MK7,MK8","8","ICS-43434","","","","Sensor_Audio:InvenSense_ICS-43434-6_3.5x2.65mm","https://www.invensense.com/wp-content/uploads/2016/02/DS-000069-ICS-43434-v1.2.pdf"
"R1,R2","2","5.1k","","","","extra footprint:0805","~"
"R3,R4","2","27ohm","","","","extra footprint:0805","~"
"R5,R7","2","1k","","","","extra footprint:0805","~"
"R6","1","10k","","","","extra footprint:0805","~"
"SW1,SW2,SW3,SW4","4","SW_Push","","","","extra footprint:button","~"
"U1","1","Sipeed-M1W","","","","Module:Sipeed-M1W","https://dl.sipeed.com/MAIX/HDK/Sipeed-M1&M1W/Specifications"
"U2","1","RP2040","","","","extra footprint:RP2040","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf"
"U3","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"U7","1","NCP1117-3.3_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF"
"Y1","1","12mhz","","","","extra footprint:12mhz crystal","~"
